"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20141101","2014","11","201411","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","700000","false","0","false","0","2107596.935","2107596.935","0","false","true",
"C","M","20140901","2014","9","201409","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","400000","false","0","false","0","1659167.044","1659167.044","0","false","true",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4448000","false","0","false","0","22411564.196","22411564.196","0","false","true",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3675000","false","0","false","0","19656679.096","19656679.096","0","false","true",
"C","M","20140801","2014","8","201408","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","98000","false","0","false","0","440765.613","440765.613","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","742000","false","0","false","0","3214363.962","3214363.962","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1400000","false","0","false","0","7220679.48","7220679.48","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","90000","false","0","false","0","774109.44","774109.44","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","165000","false","0","false","0","1310195.762","1310195.762","0","false","true",
"C","M","20140801","2014","8","201408","826","GBR","United Kingdom","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","135000","false","0","false","0","1040928.194","1040928.194","0","false","true",
